	All-onesSim	MeanRandoms	BestRandom	WorstRandom	CosinePF	DicePF	TanimotoPF	Simcomp
nrlmfAUC	0.979234	0.975785	0.977846	0.973896	0.981475	0.980925	0.980701	0.983564
nrlmfAUPR	0.865326	0.856477	0.863683	0.847016	0.864683	0.85956	0.858608	0.863386
blmAUC	0.974675	0.702874	0.744834	0.672745	0.96044	0.958388	0.944077	0.981287
blmAUPR	0.521158	0.058516	0.068181	0.051707	0.484567	0.482101	0.636176	0.821476
netlaprlsAUC	0.958158	0.95734	0.957955	0.956605	0.959433	0.959498	0.959527	0.959882
netlaprlsAUPR	0.81846	0.820111	0.820284	0.819911	0.821028	0.821095	0.821819	0.823003
wnngipAUC	0.861103	0.525954	0.535912	0.516046	0.930855	0.919196	0.944477	0.956789
wnngipAUPR	0.34916	0.038653	0.04019	0.037466	0.53947	0.524961	0.594643	0.667893
