	All-onesSim	MeanRandoms	BestRandom	WorstRandom	CosinePF	DicePF	TanimotoPF	Simcomp
nrlmfAUC	0.889655	0.864416	0.887016	0.832639	0.937526	0.945632	0.945968	0.948522
nrlmfAUPR	0.515368	0.499308	0.564758	0.427307	0.720545	0.728063	0.726034	0.722834
blmAUC	0.775846	0.580958	0.613693	0.537734	0.797103	0.803759	0.896945	0.905075
blmAUPR	0.391072	0.123816	0.178884	0.087529	0.485113	0.495231	0.63054	0.659326
netlaprlsAUC	0.79702	0.802193	0.819461	0.77738	0.823197	0.824621	0.835049	0.849627
netlaprlsAUPR	0.428803	0.430737	0.437371	0.421767	0.444117	0.445235	0.454609	0.464816
wnngipAUC	0.810938	0.541304	0.591313	0.504229	0.900681	0.898618	0.90459	0.90394
wnngipAUPR	0.317686	0.095114	0.118977	0.079856	0.581542	0.584819	0.590779	0.582391
