	All-onesSim	MeanRandoms	BestRandom	WorstRandom	CosinePF	DicePF	TanimotoPF	Simcomp
nrlmfAUC	0.932221	0.922694	0.929836	0.917277	0.956879	0.957188	0.95682	0.960355
nrlmfAUPR	0.570196	0.62361	0.642159	0.60265	0.69302	0.689631	0.688301	0.702622
blmAUC	0.94386	0.671366	0.692179	0.647643	0.934594	0.928518	0.879454	0.943664
blmAUPR	0.373081	0.054418	0.062578	0.046693	0.342311	0.33531	0.324491	0.514827
netlaprlsAUC	0.902196	0.90289	0.905388	0.896996	0.910593	0.910846	0.91363	0.914909
netlaprlsAUPR	0.606391	0.611795	0.612422	0.611115	0.613065	0.613264	0.615776	0.615446
wnngipAUC	0.872255	0.528443	0.540304	0.517898	0.804141	0.787323	0.901193	0.933079
wnngipAUPR	0.278136	0.033394	0.035729	0.031326	0.2326	0.230504	0.428247	0.466361
